n,k,beta,rbar_minus_A,min_P,max_Q_hat,max_K0,max_K1
17,10,-11,-1.5133389436787548,51.692027214610754,-4.451926171102149,-9.52063004654719,-8.00715923015679
17,11,-11,-1.2734852409522475,54.54621687775755,-4.433378175908029,-6.525803316768503,-4.09959301191779
17,12,-10,-1.6598016322766924,55.38535529743515,-3.7788800789828016,-7.770303038915601,-6.606472894019907
17,13,-10,-1.3738554014313666,57.85669539356339,-3.4038552118770404,-3.3172546672815724,-1.3913393509783056
17,14,-9,-1.55592048229627,57.05990671192044,-2.418792665148933,-1.3227311485552948,-0.5343130050254701
18,1,-14,-10.646226601855863,31.21794426613563,-0.3497755523488861,-4.0220745399303075,-3.8860311867694564
18,2,-14,-2.799221147570174,25.512200969285,-1.4141901229112879,-4.659596825494037,-4.027761397599353
18,3,-14,-1.603077952887305,24.081106199097775,-2.6785557679518575,-6.318588365848058,-5.17066862852551
18,4,-14,-1.1222547650205217,26.221474718153505,-3.3817297530940245,-7.4593300850553526,-5.423752235782901
18,5,-14,-0.8629488976106618,36.110220813904,-4.001007856132099,-7.749671567210818,-4.911580325089308
18,6,-14,-0.700666419057902,49.97270278614781,-4.55330992047711,-7.482038495360384,-3.9185000811043
18,7,-14,-0.5894386478814654,51.85659536994269,-5.045230954406256,-6.793769994915703,-2.3150931806599124
18,8,-13,-1.2482984700385362,52.875818068005536,-4.8878483105736565,-10.038142123618215,-7.43798207226241
18,9,-13,-1.0552663097504456,54.66917708360441,-5.1920270342537895,-8.454270932393,-4.786395383179299
18,10,-13,-0.9104933416728512,56.434123316012084,-5.410785968551923,-6.482815237833796,-0.22809941085042915
18,11,-12,-1.3648583533696885,58.043844268919266,-4.857452980196871,-9.043061918991674,-6.52812850793505
18,12,-12,-1.1710520843453534,60.63002898785422,-4.812342768586628,-6.039461530311947,-0.9268207692238676
18,13,-11,-1.5184102188692654,61.69064738536144,-4.082358058716154,-7.202174735857819,-5.522048781068247
18,14,-10,-1.8119482485224956,61.8161974664178,-3.2864439780132,-7.148181617942302,-5.998797660773814
18,15,-9,-1.9704278281525913,60.601511582686385,-2.349201588733953,-4.783740444031736,-4.093155001583573
19,1,-15,-11.452046259869958,34.53253314647479,-0.3496603155556233,-4.189616330822491,-4.058560883678072
19,2,-15,-2.9479767015067457,28.02308571479304,-1.425557466583166,-4.822316632626881,-4.179776055699903
19,3,-15,-1.6820912112514221,26.23565981797372,-2.7191910112177458,-6.484055172496219,-5.331791305498998
19,4,-15,-1.1757373990162998,28.0939987381684,-3.4514322930358015,-7.764738303586288,-5.70198832646542
19,5,-15,-0.9033318468005336,37.378565306386584,-4.1016644517035274,-8.20224098298991,-5.292048781837014
19,6,-15,-0.7331277081566805,53.64222585712877,-4.688155588911098,-8.082812115581167,-4.38126860224912
19,7,-15,-0.6166228410111952,56.483794158249715,-5.217543359085663,-7.535316740172827,-2.890510041823522
19,8,-15,-0.5317914628201583,56.54667778730626,-5.69341937857299,-6.609893942229104,-0.20958438359531018
19,9,-14,-1.1084106465122319,58.831743042442525,-5.431323587169028,-9.747530013117304,-6.0144552074943425
19,10,-14,-0.9569676067290601,60.50279903488833,-5.713079136774833,-7.970059048208581,-2.1092022312699563
19,11,-13,-1.4502602182696347,61.64701075778666,-5.2137835960015515,-11.29887615659194,-8.580521542807993
19,12,-13,-1.247082548760935,64.32394173406284,-5.266217801833447,-8.576365836512656,-4.0261735617872105
19,13,-12,-1.6481041249524786,65.18348492415164,-4.628167469953955,-10.471890450023729,-8.774852880432192
19,14,-12,-1.4025298536876893,67.93028955622947,-4.390303166803108,-6.643088029958004,-3.289530108160438
19,15,-11,-1.671297728567808,68.02781731641483,-3.5297025921214007,-6.551223334771558,-4.9924222528626405
19,16,-10,-1.830809986712503,66.51642001110685,-2.532892923694913,-4.2434912807300735,-3.229085949913078
20,1,-16,-12.242271536850192,37.957433597797746,-0.3495005650377707,-4.350606449664332,-4.223761114162504
20,2,-16,-3.0909354555187223,30.613244230952745,-1.4352971253600435,-4.979912508421041,-4.3268504697357635
20,3,-16,-1.7578700816071477,28.456025455215613,-2.7545845648244747,-6.637245096824887,-5.479578459200617
20,4,-16,-1.2269834895562854,30.034381394286225,-3.512722076240442,-8.043835225452053,-5.954007206533092
20,5,-16,-0.9419971010516237,38.78224385712386,-4.190408011604072,-8.612380279497026,-5.636179999025428
20,6,-16,-0.7641827362690934,57.17354902548922,-4.807256977336175,-8.625230108686821,-4.804893655385218
20,7,-16,-0.642602290916855,60.996704143982726,-5.369895590259798,-8.203788678403367,-3.4144575299103863
20,8,-16,-0.5541642485752838,61.50656337332671,-5.882148323151622,-7.3950986361506015,-0.9878997739506686
20,9,-15,-1.1590717886738253,63.198665632050805,-5.639645476589215,-10.89133688235218,-7.101738840120108
20,10,-15,-1.001104669956241,64.7434706320572,-5.974831012519056,-9.299025519119736,-3.6654773509604874
20,11,-14,-1.530963232090424,65.40701300951159,-5.518181093440971,-13.201817605560322,-10.366539665735509
20,12,-14,-1.3182399372876374,68.08503800756108,-5.649562767197529,-10.806865203929,-6.4589904957813085
20,13,-13,-1.7681054639672142,68.62153034345941,-5.080417947973108,-13.362880741179243,-11.577995066475758
20,14,-13,-1.5109179760318177,71.69852723931102,-4.968402881731111,-9.916760018791923,-7.071362999144042
20,15,-12,-1.8499816272835818,72.00321218420002,-4.23472821562491,-10.85848548384424,-9.284619864272928
20,16,-12,-1.5536523751166662,74.182415347235,-3.7771186950831748,-5.959464745669475,-3.573908364999825
20,17,-11,-1.7103097134618168,72.38531647505881,-2.719829308247149,-3.6828983964723627,-2.280256068684262
20,18,-7,-3.005220988309049,56.84735581747335,-0.9968111487566971,-1.7260671824665368,-2.3628726696086075
21,1,-17,-13.017295475966284,41.48914747428949,-0.34931591346716684,-4.505748003635368,-4.382486085265994
21,2,-17,-3.2286858797633764,33.2802118694036,-1.4437344318246021,-5.1328059508199555,-4.469384465584318
21,3,-17,-1.8307708715047062,30.740115793103552,-2.7857011376063596,-6.780286554229548,-5.616448491690681
21,4,-17,-1.2762492925488655,32.03894827672274,-3.5670435291312836,-8.300945080507972,-6.1849332385639055
21,5,-17,-0.9791476559387338,40.30239014528764,-4.269238263607351,-8.988649785576534,-5.951448327703368
21,6,-17,-0.7940030958564526,60.58041541924359,-4.913212615153327,-9.121084962516475,-5.194582602648184
21,7,-17,-0.6675297889046217,65.42209307231055,-5.505548628637044,-8.816637886845552,-3.8953889335147474
21,8,-17,-0.5756089775482162,66.6007692555088,-6.050214129504036,-8.118549885864068,-1.6720354093750807
21,9,-16,-1.207597239653715,67.77183278147048,-5.822729183068869,-11.921434843906027,-8.078487803686384
21,10,-16,-1.0432717717549158,69.16713345699162,-6.20390237731229,-10.501767592513152,-4.997426013038798
21,11,-15,-1.6077950161256522,69.34829223939614,-5.781676023230205,-14.857976298086374,-11.948117747999563
21,12,-15,-1.385569940126949,71.9713324173702,-5.978606011804126,-12.722898434403909,-8.493686036939376
21,13,-15,-1.2118221869542984,74.45531361749708,-6.0880264057666835,-10.208394001455977,-2.9012180359844977
21,14,-14,-1.6111799014478079,75.35669646818823,-5.449511788973989,-12.826698577847512,-10.079062068057747
21,15,-14,-1.3982706129844031,78.14604964663566,-5.312460492151776,-9.37498698167638,-4.034678464515187
21,16,-13,-1.7035940337283755,78.53833531905559,-4.51749402774276,-10.249053090169058,-8.189868868152256
21,17,-13,-1.4539771041305318,80.28327458892355,-4.028777604685667,-5.376430521842978,-0.24972083364374387
21,18,-12,-1.6060638708030222,78.20958205563674,-2.910209715190833,-3.114202413562092,-1.0594747976666352
21,19,-8,-2.919820819875024,62.598662165185296,-1.1035736072270246,-2.6459582166195146,-3.0906152640003057
22,1,-18,-13.777548373582398,45.12449629382436,-0.3491187214569778,-4.6556296872312215,-4.53543951938119
22,2,-18,-3.361725001226234,36.021753117482106,-1.4511135392664554,-5.281371023510375,-4.60773675154041
22,3,-18,-1.9010894849732547,33.08604102778245,-2.813270540197987,-6.914717036135812,-5.744161830919408
22,4,-18,-1.3237457078689905,34.104593258407746,-3.6155264425081146,-8.540241256898662,-6.39842773053987
22,5,-18,-1.0149493019092022,41.92465529735104,-4.339730318185285,-9.33674135599368,-6.2425192305166535
22,6,-18,-0.8227277424209398,63.8652274376246,-5.008080538733026,-9.57905399955549,-5.556195718628844
22,7,-18,-0.6915277022330633,69.75403576683759,-5.627093833004551,-9.382701364543106,-4.33928743005911
22,8,-18,-0.5962383066340018,71.62464999916953,-6.200821702569076,-8.79096326789365,-2.2824882638018504
22,9,-17,-1.2542543023917547,72.54974389751256,-5.984955503785562,-12.858324302389448,-8.963088299695974
22,10,-17,-1.0837401854113995,73.77818965109171,-6.406189083411173,-11.600194641777945,-6.166740713408748
22,11,-17,-0.9518895546079663,75.0949603621158,-6.76845701610268,-9.889711655047114,-1.4900154522597224
22,12,-16,-1.4497503202584152,76.01253486685162,-6.264689638319403,-14.427978867174627,-10.257971686794022
22,13,-16,-1.2691618409182284,78.47120313246599,-6.440705682766887,-12.136137825869655,-5.503816961057452
22,14,-15,-1.7054742013743627,79.0429100435816,-5.858330156052394,-15.477313965376569,-12.654512712638466
22,15,-15,-1.4837250923845229,82.02236973809089,-5.821574080484413,-12.303569899418836,-7.707933323938522
22,16,-14,-1.8391733197453455,82.38496412936169,-5.120020437588237,-13.896236016007506,-11.914217773172725
22,17,-14,-1.5821376104639255,85.0107289448956,-4.804029464459937,-9.653294094289107,-6.301469020245978
22,18,-13,-1.8169691769061773,84.3565238388399,-3.882871033003064,-9.211534496935888,-7.178601106296849
22,19,-12,-1.9536724603102926,81.86758366772119,-2.818950871740146,-6.579750937094504,-5.067730174329934
22,20,-9,-2.782629035996382,68.26381381002746,-1.208594590018474,-2.9614344867142055,-3.2572794663040634
